id,ticker,strategy,universe,direction,entry_date,entry_price,shares,stop_price,take_profit,exit_date,exit_price,exit_reason,pnl,pnl_pct,mae,mfe,hold_days,confidence,regime_at_entry,regime_at_exit,status,config_version,created_at,updated_at,stop_order_id,tp_order_id
122,ECL,connors_rsi2,sp500,long,2026-03-25,257.03,4,0.0,,2026-03-24,261.82,stop_loss,19.16,1.86,,,,0.0,,,closed,v3.2,2026-04-14 06:36:27,2026-04-14 06:36:27,,
123,NOC,connors_rsi2,sp500,long,2026-03-25,670.0,1,0.0,,2026-03-24,677.75,stop_loss,7.75,1.16,,,,0.0,,,closed,v3.2,2026-04-14 06:36:27,2026-04-14 06:36:27,,
124,D,mean_reversion,sp500,long,2026-03-26,59.38,13,0.0,,2026-03-25,62.54,stop_loss,41.08,5.32,,,,0.0,,,closed,v3.2,2026-04-14 06:36:27,2026-04-14 06:36:27,,
125,CVX,momentum_breakout,sp500,long,2026-03-28,205.32,3,0.0,,2026-03-27,206.65,stop_loss,3.99,0.65,,,,0.0,,,closed,v3.2,2026-04-14 06:36:27,2026-04-14 06:36:27,,
126,COP,sector_rotation,sp500,long,2026-04-01,130.51,2,0.0,,2026-04-02,127.0,trailing_stop,5.94,0.0,,,,0.0,,,closed,v3.2,2026-04-14 06:36:27,2026-04-14 06:36:27,,
127,MRVL,momentum_breakout,sp500,long,2026-04-03,99.12,3,0.0,,2026-04-07,106.77,trailing_stop,17.57,0.0,,,,0.0,,,closed,v3.2,2026-04-14 06:36:27,2026-04-14 06:36:27,,
128,AMT,mean_reversion,sp500,long,2026-04-10,167.53,4,0.0,,2026-04-09,179.8338,take_profit,49.22,7.34,,,,0.0,,,closed,v3.2,2026-04-14 06:36:27,2026-04-14 06:36:27,,
129,MRVL,momentum_breakout,sp500,long,2026-04-11,108.63,4,0.0,,2026-04-10,124.41,stop_loss,63.12,14.53,,,,0.0,,,closed,v3.2,2026-04-14 06:36:27,2026-04-14 06:36:27,,
135,GLD,momentum_breakout,commodity_etfs,long,2026-04-16T08:00:12.283425,442.8,2,420.66,,,,,,,,,,0.0,,,open,,2026-04-15 22:00:12,2026-04-15 22:00:12,,
136,SLV,momentum_breakout,commodity_etfs,long,2026-04-16T08:00:12.294879,71.92,6,68.32,,2026-04-22T08:00:40.687895,70.9867,reconcile_fill,-5.599800000000016,-1.2976918798665222,-1.7519,4.505,6,0.0,,,closed,,2026-04-15 22:00:12,2026-04-21 22:00:40,,
138,FCX,momentum_breakout,sp500,long,2026-04-16,68.03,5,63.82,,,,,,,,,,,,,open,,2026-04-16T05:05:25.595644+00:00,2026-04-21 05:29:47,,
140,AMD,momentum_breakout,sp500,long,2026-04-18T08:01:07.138489,278.25,2,264.34,,,,,,,,,,0.0,,,open,,2026-04-17 22:01:07,2026-04-20 04:44:10,,
141,XLY,momentum_breakout,sp500,long,2026-04-18,116.44,10,110.618,,2026-04-21T08:00:35.468626,116.44,reconcile_phantom,0.0,0.0,,,3,0.0,,,closed,,2026-04-20 04:44:10,2026-04-20 22:00:35,,
142,AAPL,momentum_breakout,sp500,long,2026-04-20T14:56:47.551059,152.0,15,145.0,,2026-04-21T08:00:35.475470,152.0,reconcile_phantom,0.0,0.0,,,0,0.0,,,closed,,2026-04-20 04:56:47,2026-04-20 22:00:35,,
150,UNG,connors_rsi2,sp500,long,2026-04-21T09:00:11.023901,10.68,54,10.145999999999999,,2026-04-22T08:00:29.065184,10.68,reconcile_phantom,0.0,0.0,,,0,0.0,,,closed,,2026-04-20 23:00:11,2026-04-21 22:00:29,,
151,XLY,momentum_breakout,sp500,long,2026-04-21T09:00:11.027157,116.44,10,110.618,,2026-04-22T08:00:29.072084,116.44,reconcile_phantom,0.0,0.0,,,0,0.0,,,closed,,2026-04-20 23:00:11,2026-04-21 22:00:29,,
154,UNG,connors_rsi2,commodity_etfs,long,2026-04-21T16:00:14.009742,10.68,54,10.47,,2026-04-22T08:00:29.065184,10.68,reconcile_phantom,0.0,0.0,,,0,0.0,,,closed,,2026-04-21 06:00:14,2026-04-21 22:00:29,,
157,SLV,momentum_breakout,sp500,long,2026-04-21T17:00:15.081228,71.92,6,68.324,,2026-04-22T08:00:29.083015,70.9867,reconcile_fill,-5.599800000000016,-1.2976918798665222,,,0,0.0,,,closed,,2026-04-21 07:00:15,2026-04-21 22:00:29,,
162,UNG,connors_rsi2,commodity_etfs,long,2026-04-22T08:00:40.682074,10.68,54,10.15,,,,,,,,,,0.0,,,open,,2026-04-21 22:00:40,2026-04-21 22:00:40,,
167,XLY,momentum_breakout,sp500,long,2026-04-22T09:00:09.812185,116.44,10,110.618,,,,,,,,,,0.0,,,open,,2026-04-21 23:00:09,2026-04-21 23:00:09,,
172,CHTR,momentum_breakout,sp500,long,2026-04-22T11:13:45.218660,243.93,1,231.7832,,,,,,,,,,0.9989,recovery_early,,open,,2026-04-22 01:13:45,2026-04-22 01:13:45,,
173,ON,momentum_breakout,sp500,long,2026-04-22T11:13:45.225302,85.51,4,81.1599,,,,,,,,,,1.0,recovery_early,,open,,2026-04-22 01:13:45,2026-04-22 01:13:45,,
178,SLV,momentum_breakout,sp500,long,2026-04-22T11:13:45.253200,71.92,6,0.0,,2026-04-22T11:13:45.533432,70.9867,trailing_stop_fill,-5.599800000000016,-1.2976918798665222,,,0,0.0,recovery_early,recovery_early,closed,,2026-04-22 01:13:45,2026-04-22 01:13:45,,
