date,01_baseline,02_vix_lt20,03_vix_lt25,04_vix_lt30,05_roc_spike_20pct,06_roc_spike_30pct,07_roc_spike_50pct,08_roc_abs_30pct,09_panic_only_gt20,10_panic_only_gt25,11_combined_lt30_no_spike
2023-04-26,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-04-27,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-04-28,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-05-01,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-05-02,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-05-03,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-05-04,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-05-05,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-05-08,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-05-09,117263.47,100643.29,101110.27,101137.9,144377.86,148872.6,154812.71,148872.6,118016.07,115128.06,103778.27
2023-05-10,117263.47,100643.29,101110.27,101137.9,144377.86,148872.6,154812.71,148872.6,118016.07,115128.06,103778.27
2023-05-11,117263.47,100643.29,101110.27,101137.9,144377.86,148872.6,154812.71,148872.6,118016.07,115128.06,103778.27
2023-05-12,117263.47,100643.29,101110.27,101137.9,144377.86,148872.6,154812.71,148872.6,118016.07,115128.06,103778.27
2023-05-15,117263.47,100643.29,101110.27,101137.9,144377.86,148872.6,154812.71,148872.6,118016.07,115128.06,103778.27
2023-05-16,117263.47,100643.29,101110.27,101137.9,144377.86,148872.6,154812.71,148872.6,118016.07,115128.06,103778.27
2023-05-17,117263.47,100643.29,101110.27,101137.9,144377.86,148872.6,154812.71,148872.6,118016.07,115128.06,103778.27
2023-05-18,117263.47,100643.29,101110.27,101137.9,144377.86,148872.6,154812.71,148872.6,122123.45,115128.06,103778.27
2023-05-19,117263.47,100643.29,101110.27,101137.9,144377.86,148872.6,154812.71,148872.6,122123.45,115128.06,103778.27
2023-05-22,117263.47,100643.29,101110.27,101137.9,144377.86,148872.6,154812.71,148872.6,122123.45,115128.06,103778.27
2023-05-23,117263.47,100643.29,101110.27,101137.9,144377.86,148872.6,154812.71,148872.6,122123.45,115128.06,103778.27
2023-05-24,117263.47,100643.29,101110.27,101137.9,144377.86,148872.6,154812.71,148872.6,122123.45,115128.06,103778.27
2023-05-25,117263.47,100643.29,101110.27,101137.9,144377.86,148872.6,154812.71,148872.6,122123.45,115128.06,103778.27
2023-05-26,117263.47,100643.29,101110.27,101137.9,144377.86,148872.6,154812.71,148872.6,122123.45,115128.06,103778.27
2023-05-30,117263.47,100643.29,101110.27,101137.9,144377.86,148872.6,154812.71,148872.6,122123.45,115128.06,103778.27
2023-05-31,117263.47,100643.29,101110.27,101137.9,144377.86,148872.6,154812.71,148872.6,122123.45,115128.06,103778.27
2023-06-01,117263.47,100643.29,101110.27,101137.9,144377.86,148872.6,154812.71,148872.6,122123.45,115128.06,103778.27
2023-06-02,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-06-05,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-06-06,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-06-07,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-06-08,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-06-09,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-06-12,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-06-13,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-06-14,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-06-15,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-06-16,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-06-20,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-06-21,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-06-22,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-06-23,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-06-26,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-06-27,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-06-28,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-06-29,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-06-30,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-07-03,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-07-05,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-07-06,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-07-07,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-07-10,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-07-11,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-07-12,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-07-13,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-07-14,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-07-17,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-07-18,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-07-19,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-07-20,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-07-21,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-07-24,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-07-25,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-07-26,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
2023-07-27,122064.25,100643.29,105249.74,105278.5,150288.7,154967.46,161150.76,154967.46,127123.19,115128.06,108026.96
