variant,ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,r_multiple,exit_reason,same_bar_stop
delay_15m,DE,2024-09-30,2024-10-03,408.3141,400.2098,-1.9848,-1.6105,stop_hit,False
delay_15m,BLK,2024-09-19,2024-10-04,908.6541,919.55,1.1991,1.1721,time_exit,False
delay_15m,CVX,2024-10-03,2024-10-08,141.6758,139.3003,-1.6767,-1.3522,stop_hit,False
delay_15m,COP,2024-10-04,2024-10-08,108.8044,105.4772,-3.0579,-2.0733,stop_hit,False
delay_15m,AMD,2024-09-24,2024-10-09,157.9689,170.8845,8.176,3.7061,time_exit,False
delay_15m,AMD,2024-10-09,2024-10-10,172.5913,164.1579,-4.8863,-2.6422,stop_hit,False
delay_15m,ALB,2024-09-27,2024-10-14,94.147,96.9815,3.0106,0.974,time_exit,False
delay_15m,CSCO,2024-09-30,2024-10-15,50.9104,52.1639,2.4621,2.6859,time_exit,False
delay_15m,BKR,2024-10-03,2024-10-15,36.1431,35.1024,-2.8792,-1.719,stop_hit,False
delay_15m,BMY,2024-10-01,2024-10-16,48.3292,49.6951,2.8264,1.9679,time_exit,False
delay_15m,ACN,2024-10-03,2024-10-18,350.24,367.0964,4.8128,3.7933,time_exit,False
delay_15m,ADP,2024-10-03,2024-10-18,274.167,282.0089,2.8603,3.0502,time_exit,False
delay_15m,CRM,2024-10-03,2024-10-18,277.1935,289.875,4.5749,3.1582,time_exit,False
delay_15m,AXP,2024-10-14,2024-10-21,271.8509,266.2868,-2.0467,-1.8517,stop_hit,False
delay_15m,ACN,2024-10-18,2024-10-22,366.7483,362.0189,-1.2895,-1.1392,stop_hit,False
delay_15m,CB,2024-10-18,2024-10-22,295.2325,290.9844,-1.4389,-1.3203,stop_hit,False
delay_15m,APD,2024-10-08,2024-10-23,298.164,314.0029,5.3121,4.6599,time_exit,False
delay_15m,BK,2024-10-08,2024-10-23,70.4002,74.053,5.1886,5.9656,time_exit,False
delay_15m,ADP,2024-10-18,2024-10-23,282.4361,279.91,-0.8944,-1.1749,stop_hit,False
delay_15m,AAPL,2024-10-21,2024-10-23,234.212,229.0554,-2.2017,-1.9552,stop_hit,False
delay_15m,AMZN,2024-10-22,2024-10-23,189.1245,184.6226,-2.3804,-1.954,stop_hit,False
delay_15m,ABT,2024-10-10,2024-10-25,111.9159,110.8146,-0.9841,-1.0569,stop_hit,False
delay_15m,ALL,2024-10-16,2024-10-25,188.7593,182.6986,-3.2108,-2.6545,stop_hit,False
delay_15m,AZO,2024-10-22,2024-10-25,3187.3129,3128.7249,-1.8382,-1.7186,stop_hit,False
delay_15m,GM,2024-10-23,2024-10-25,52.6963,51.2743,-2.6985,-1.6806,stop_hit,False
delay_15m,F,2024-10-23,2024-10-29,10.09,9.4483,-6.3604,-4.9499,stop_hit,False
delay_15m,EQIX,2024-10-25,2024-10-29,884.6771,875.7219,-1.0123,-1.2869,stop_hit,False
delay_15m,KMI,2024-10-25,2024-10-29,23.2416,22.8686,-1.6051,-1.3807,stop_hit,False
delay_15m,APH,2024-10-15,2024-10-30,65.9229,67.5562,2.4775,1.9872,time_exit,False
delay_15m,BKNG,2024-10-15,2024-10-30,170.135,176.4717,3.7245,4.0049,time_exit,False
delay_15m,CMG,2024-10-29,2024-10-30,60.6303,55.7421,-8.0623,-7.2945,stop_hit,False
delay_15m,DXCM,2024-10-23,2024-10-31,72.7338,70.4348,-3.161,-2.107,stop_hit,False
delay_15m,MRVL,2024-10-23,2024-10-31,82.051,79.7001,-2.8651,-1.3467,stop_hit,False
delay_15m,NOW,2024-10-25,2024-10-31,191.0855,186.5167,-2.391,-1.6976,stop_hit,False
delay_15m,CRM,2024-10-29,2024-10-31,293.7068,288.3158,-1.8355,-1.6635,stop_hit,False
delay_15m,AMZN,2024-10-30,2024-10-31,193.8344,186.1269,-3.9763,-3.2542,stop_hit,False
delay_15m,CDNS,2024-10-30,2024-10-31,285.6177,276.0569,-3.3474,-1.8328,stop_hit,False
delay_15m,CMCSA,2024-10-31,2024-11-01,39.1996,38.3908,-2.0633,-1.8432,stop_hit,False
delay_15m,BKNG,2024-10-30,2024-11-04,175.2976,187.9236,7.2026,9.1439,take_profit,False
delay_15m,ABBV,2024-10-31,2024-11-04,192.9014,190.4947,-1.2476,-1.271,stop_hit,False
delay_15m,GOOG,2024-10-31,2024-11-04,172.8314,169.6751,-1.8262,-1.3721,stop_hit,False
delay_15m,GOOGL,2024-10-31,2024-11-04,171.1805,168.2558,-1.7086,-1.2764,stop_hit,False
delay_15m,BKR,2024-11-01,2024-11-06,36.7484,41.2011,12.1168,9.4107,take_profit,False
delay_15m,GILD,2024-10-23,2024-11-07,84.1821,91.7428,8.9815,9.2723,take_profit,False
delay_15m,ADBE,2024-11-07,2024-11-08,505.2025,494.3627,-2.1456,-1.8733,stop_hit,False
delay_15m,LYV,2024-10-25,2024-11-11,116.5382,124.008,6.4097,6.0967,time_exit,False
delay_15m,AMAT,2024-11-08,2024-11-12,189.7198,183.988,-3.0212,-1.5268,stop_hit,False
delay_15m,ALB,2024-11-11,2024-11-12,104.6523,100.0499,-4.3978,-1.9243,stop_hit,False
delay_15m,CCL,2024-10-29,2024-11-13,21.7109,24.4278,12.5142,5.9874,time_exit,False
delay_15m,EA,2024-10-31,2024-11-14,148.3591,162.0847,9.2516,9.2877,take_profit,False
delay_15m,ADP,2024-11-12,2024-11-14,297.1585,291.3742,-1.9465,-2.3279,stop_hit,False
delay_15m,ALB,2024-11-12,2024-11-14,102.066,99.3203,-2.6901,-1.0489,stop_hit,False
delay_15m,FAST,2024-10-31,2024-11-15,37.949,39.6302,4.4302,3.6749,time_exit,False
delay_15m,ADBE,2024-11-13,2024-11-15,528.7242,503.0583,-4.8543,-4.1169,stop_hit,False
delay_15m,ACN,2024-11-14,2024-11-15,357.5987,344.2478,-3.7335,-3.3111,stop_hit,False
delay_15m,CDNS,2024-11-14,2024-11-15,303.8118,289.5152,-4.7058,-2.4275,stop_hit,False
delay_15m,CRWD,2024-11-14,2024-11-15,346.5882,336.5916,-2.8843,-1.5221,stop_hit,False
delay_15m,AMZN,2024-11-04,2024-11-19,196.2731,204.4927,4.1878,2.9493,time_exit,False
delay_15m,BKNG,2024-11-04,2024-11-19,188.7943,196.7116,4.1936,4.5028,time_exit,False
delay_15m,CHTR,2024-11-04,2024-11-19,375.8878,384.5276,2.2985,1.2163,time_exit,False
delay_15m,CVX,2024-11-04,2024-11-19,144.2321,150.9845,4.6816,4.6974,time_exit,False
delay_15m,FITB,2024-11-15,2024-11-19,44.8424,43.978,-1.9277,-1.4994,stop_hit,False
delay_15m,FDX,2024-11-15,2024-11-20,284.147,278.7406,-1.9027,-1.7326,stop_hit,False
delay_15m,BKR,2024-11-06,2024-11-21,40.5102,43.6082,7.6473,6.5355,time_exit,False
delay_15m,DXCM,2024-11-15,2024-11-22,75.7328,72.7736,-3.9075,-2.0326,stop_hit,False
delay_15m,EOG,2024-11-15,2024-11-25,128.114,125.3373,-2.1674,-1.7272,stop_hit,False
delay_15m,APH,2024-11-25,2024-11-27,73.1816,71.8641,-1.8003,-1.296,stop_hit,False
delay_15m,DIS,2024-11-15,2024-12-02,111.3607,115.3123,3.5485,2.8919,time_exit,False
delay_15m,KMI,2024-11-19,2024-12-02,26.1831,25.7771,-1.5505,-1.3185,stop_hit,False
delay_15m,AEP,2024-11-27,2024-12-02,95.6628,94.1229,-1.6097,-1.4475,stop_hit,False
delay_15m,APD,2024-11-19,2024-12-04,314.122,314.8825,0.2421,0.2199,time_exit,False
