ticker,ex_date,entry_price,exit_price,div_amount,shares,franking,gu_yield,entry_rsi,price_pnl,div_income,franking_credit,total_gu_pnl,ret_price,ret_gu,stopped_out,held_days
TLC.AX,2024-08-28,4.940000057220459,4.96999979019165,0.105,101,1.0,0.030364372117922405,52.53810372286419,2.529973030090332,10.605,4.545000000000001,17.679973030090334,0.005070695876829739,0.03543506799475215,False,15
TLC.AX,2025-02-26,4.96999979019165,4.809999942779541,0.08,100,1.0,0.02299511450911093,52.55557644499382,-16.499984741210938,8.0,3.428571428571429,-5.071413312639509,-0.03319916587073875,-0.01020405136162782,False,15
TLC.AX,2025-08-27,5.409999847412109,5.900000095367432,0.085,92,1.0,0.022445207921153117,53.533400145336664,44.58002281188965,7.82,3.351428571428572,55.75145138331822,0.08956848040918523,0.11201368833033835,False,15
NAB.AX,2023-11-14,29.059999465942383,27.56268174540418,0.84,17,1.0,0.04129387550080209,55.784975196845046,-25.954401249149438,0.0,0.0,-25.954401249149438,-0.05253714773922741,-0.05253714773922741,True,15
NAB.AX,2024-05-07,33.5099983215332,34.529998779296875,0.84,14,1.0,0.0358102077023648,44.99815930319781,13.780006408691406,11.76,5.04,30.580006408691403,0.029372910216378414,0.06518311791874322,False,15
NAB.AX,2024-11-12,38.209999084472656,40.06999969482422,0.85,13,1.0,0.031779265725739365,48.58584710346448,23.680007934570312,11.049999999999999,4.735714285714285,39.4657222202846,0.04767179051386684,0.0794510562396062,False,15
NAB.AX,2025-05-12,36.0,37.369998931884766,0.85,13,1.0,0.033730158730158735,64.0701333864991,17.309986114501953,11.049999999999999,4.735714285714285,33.09570040021624,0.03698714981731187,0.07071730854747059,False,15
NAB.AX,2025-11-11,43.619998931884766,40.94943048033957,0.85,11,1.0,0.027837820816591356,50.508584626452006,-29.87625296699713,0.0,0.0,-29.87625296699713,-0.0622655447846519,-0.0622655447846519,True,15
SDF.AX,2023-08-21,5.949999809265137,5.6648111862825,0.09,84,1.0,0.021608644150075688,60.0264696488443,-24.455844330541492,0.0,0.0,-24.455844330541492,-0.04893126273410344,-0.04893126273410344,True,15
SDF.AX,2024-03-04,5.949999809265137,5.635073460088079,0.0675,84,1.0,0.01620648311255677,53.89013150176513,-26.95381333087285,0.0,0.0,-26.95381333087285,-0.05392920006985165,-0.05392920006985165,True,15
SDF.AX,2024-09-03,6.440000057220459,6.080596000803152,0.1035,77,1.0,0.022959183469473267,55.38996315864515,-28.17411234413263,0.0,0.0,-28.17411234413263,-0.056816391251514504,-0.056816391251514504,True,15
SDF.AX,2025-03-03,5.690000057220459,5.46999979019165,0.078,87,1.0,0.019583228525133587,46.51443842646736,-19.640023231506348,6.786,2.908285714285714,-9.945737517220634,-0.03967440970042219,-0.020091181175288606,False,15
SDF.AX,2025-09-03,6.130000114440918,5.724137901072371,0.117,81,1.0,0.027266370966144964,50.77571719696842,-33.37483928285229,0.0,0.0,-33.37483928285229,-0.0672161574522742,-0.0672161574522742,True,15
AZJ.AX,2023-08-28,3.690000057220459,3.569999933242798,0.08,135,1.0,0.030971737808535838,44.65760243359841,-16.700016736984253,10.8,4.628571428571429,-1.2714453084128232,-0.03352407202252088,-0.0025523342139850426,False,15
AZJ.AX,2024-08-26,3.430000066757202,3.319999933242798,0.073,145,1.0,0.030403997742282352,40.08270345955455,-16.450019359588623,10.584999999999999,4.536428571428571,-1.328590788160053,-0.03307533736689688,-0.0026713396246145268,False,15
AZJ.AX,2025-03-03,3.2799999713897705,3.066706887926062,0.092,152,1.0,0.040069686760662915,59.29285679016354,-32.9205486864837,0.0,0.0,-32.9205486864837,-0.06603126799911244,-0.06603126799911244,True,15
AZJ.AX,2025-09-01,3.259999990463257,3.1700000762939453,0.065,153,1.0,0.028483786235823746,53.500398518921955,-14.269986867904663,9.945,4.262142857142857,-0.06284401076180579,-0.028609781686614974,-0.00012599545079122756,False,15
SHL.AX,2023-09-06,32.209999084472656,31.0,0.62,15,1.0,0.027498115830163386,34.69086362279957,-18.649986267089844,9.3,3.985714285714286,-5.364271981375557,-0.03860082127122313,-0.01110270544105974,False,15
SHL.AX,2024-03-01,29.100000381469727,28.399999618530273,0.43,17,1.0,0.02110947444099962,27.157838002856437,-12.400012969970703,7.31,3.1328571428571426,-1.957155827113561,-0.025065722270911382,-0.003956247829911768,False,15
SHL.AX,2024-09-04,28.1200008392334,26.36364759218752,0.63,17,1.0,0.03200568894522606,63.064945874438784,-30.358005199779953,0.0,0.0,-30.358005199779953,-0.06350515499488317,-0.06350515499488317,True,15
SHL.AX,2025-03-05,28.100000381469727,26.096128789468473,0.44,17,1.0,0.022369089681078223,48.066493245464194,-34.56581706402131,0.0,0.0,-34.56581706402131,-0.07235883733467723,-0.07235883733467723,True,15
SHL.AX,2025-09-03,24.1200008392334,22.520000457763672,0.63,20,1.0,0.03731343153753408,24.61324308119616,-32.50000762939453,12.6,5.4,-14.50000762939453,-0.06737148942493046,-0.030058057887396367,False,15
DMP.AX,2023-08-28,50.119998931884766,45.246407146962994,0.426,9,1.0,0.01214228734119694,54.04799915656516,-44.36232606429594,0.0,0.0,-44.36232606429594,-0.09834691631131617,-0.09834691631131617,True,15
DMP.AX,2024-02-26,40.040000915527344,45.66999816894531,0.555,12,1.0,0.019801626491713596,28.083837713884378,67.05996704101562,6.66,2.8542857142857145,76.57425275530133,0.13956869278152717,0.15937031927324075,False,15
DMP.AX,2024-08-26,33.099998474121094,29.655692446480174,0.504,15,1.0,0.021752266863786257,51.66261664760255,-52.1645904146138,0.0,0.0,-52.1645904146138,-0.10506463810544316,-0.10506463810544316,True,15
DMP.AX,2025-03-03,32.08000183105469,27.976171201180073,0.555,15,1.0,0.0247149968080621,52.520206570250615,-62.057459448119225,0.0,0.0,-62.057459448119225,-0.12896395657942303,-0.12896395657942303,True,15
DMP.AX,2025-09-02,19.31999969482422,17.493129177788916,0.215,25,1.0,0.01589766366430844,55.42714915454232,-46.171762925882575,0.0,0.0,-46.171762925882575,-0.09559371357185245,-0.09559371357185245,True,15
QUB.AX,2023-09-18,3.0,2.7940295617558584,0.0435,166,1.0,0.020714285714285713,57.85980422053473,-34.69109274852751,0.0,0.0,-34.69109274852751,-0.06966082881230423,-0.06966082881230423,True,15
